"Country or Area","Year","Area","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Egypt","2022","Total","Data tabulated by year of occurrence","Final figure, complete","2024","258757","1"
"Egypt","2022","Urban","Data tabulated by year of occurrence","Final figure, complete","2024","145467","1"
"Egypt","2022","Rural","Data tabulated by year of occurrence","Final figure, complete","2024","113290","1"
"Egypt","2021","Total","Data tabulated by year of occurrence","Final figure, complete","2024","243583","1"
"Egypt","2021","Urban","Data tabulated by year of occurrence","Final figure, complete","2024","133417","1"
"Egypt","2021","Rural","Data tabulated by year of occurrence","Final figure, complete","2024","110166","1"
"Egypt","2020","Total","Data tabulated by year of occurrence","Final figure, complete","2024","213950","1"
"Egypt","2020","Urban","Data tabulated by year of occurrence","Final figure, complete","2024","116845","1"
"Egypt","2020","Rural","Data tabulated by year of occurrence","Final figure, complete","2024","97105","1"
"Egypt","2019","Total","Data tabulated by year of registration","Final figure, complete","2021","225929","1"
"Egypt","2019","Urban","Data tabulated by year of registration","Final figure, complete","2021","121552","1"
"Egypt","2019","Rural","Data tabulated by year of registration","Final figure, complete","2021","104377","1"
"Egypt","2018","Total","Data tabulated by year of registration","Final figure, complete","2021","211554","1"
"Egypt","2018","Urban","Data tabulated by year of registration","Final figure, complete","2021","121714","1"
"Egypt","2018","Rural","Data tabulated by year of registration","Final figure, complete","2021","89840","1"
"Egypt","2017","Total","Data tabulated by year of registration","Final figure, complete","2018","198269","1"
"Egypt","2017","Urban","Data tabulated by year of registration","Final figure, complete","2018","108224","1"
"Egypt","2017","Rural","Data tabulated by year of registration","Final figure, complete","2018","90045","1"
"Egypt","2016","Total","Data tabulated by year of registration","Final figure, complete","2018","192079","1"
"Egypt","2016","Urban","Data tabulated by year of registration","Final figure, complete","2018","105200","1"
"Egypt","2016","Rural","Data tabulated by year of registration","Final figure, complete","2018","86879","1"
"Egypt","2015","Total","Data tabulated by year of registration","Final figure, complete","2018","199867","1"
"Egypt","2015","Urban","Data tabulated by year of registration","Final figure, complete","2018","114780","1"
"Egypt","2015","Rural","Data tabulated by year of registration","Final figure, complete","2018","85087","1"
"Egypt","2014","Total","Data tabulated by year of registration","Final figure, complete","2016","180344","1"
"Egypt","2014","Urban","Data tabulated by year of registration","Final figure, complete","2016","97953","1"
"Egypt","2014","Rural","Data tabulated by year of registration","Final figure, complete","2016","82391","1"
"Egypt","2013","Total","Data tabulated by year of registration","Final figure, complete","2015","162583","1"
"Egypt","2013","Urban","Data tabulated by year of registration","Final figure, complete","2015","91040","1"
"Egypt","2013","Rural","Data tabulated by year of registration","Final figure, complete","2015","71543","1"
"Egypt","2012","Total","Data tabulated by year of registration","Final figure, complete","2014","155261","1"
"Egypt","2012","Urban","Data tabulated by year of registration","Final figure, complete","2014","91789","1"
"Egypt","2012","Rural","Data tabulated by year of registration","Final figure, complete","2014","63472","1"
"Egypt","2011","Total","Data tabulated by year of registration","Final figure, complete","2013","151933","1"
"Egypt","2011","Urban","Data tabulated by year of registration","Final figure, complete","2013","87091","1"
"Egypt","2011","Rural","Data tabulated by year of registration","Final figure, complete","2013","64842","1"
"Egypt","2010","Total","Data tabulated by year of registration","Final figure, complete","2012","149376","1"
"Egypt","2010","Urban","Data tabulated by year of registration","Final figure, complete","2012","85686","1"
"Egypt","2010","Rural","Data tabulated by year of registration","Final figure, complete","2012","63690","1"
"Egypt","2009","Total","Data tabulated by year of registration","Final figure, complete","2011","141467","1"
"Egypt","2009","Urban","Data tabulated by year of registration","Final figure, complete","2011","75134","1"
"Egypt","2009","Rural","Data tabulated by year of registration","Final figure, complete","2011","66333","1"
"Egypt","2008","Total","Data tabulated by year of registration","Final figure, complete","2009","84430","1"
"Egypt","2008","Urban","Data tabulated by year of registration","Final figure, complete","2009","44593","1"
"Egypt","2008","Rural","Data tabulated by year of registration","Final figure, complete","2009","39837","1"
"Egypt","2007","Total","Data tabulated by year of registration","Final figure, complete","2008","77878","1"
"Egypt","2007","Urban","Data tabulated by year of registration","Final figure, complete","2008","42595","1"
"Egypt","2007","Rural","Data tabulated by year of registration","Final figure, complete","2008","35283","1"
"Egypt","2006","Total","Data tabulated by year of registration","Final figure, complete","2007","65461","1"
"Egypt","2006","Urban","Data tabulated by year of registration","Final figure, complete","2007","33603","1"
"Egypt","2006","Rural","Data tabulated by year of registration","Final figure, complete","2007","31858","1"
"Egypt","2005","Total","Data tabulated by year of registration","Final figure, complete","2007","65047","1"
"Egypt","2005","Urban","Data tabulated by year of registration","Final figure, complete","2007","32791","1"
"Egypt","2005","Rural","Data tabulated by year of registration","Final figure, complete","2007","32256","1"
"Egypt","2004","Total","Data tabulated by year of registration","Final figure, complete","2007","64496","1"
"Egypt","2004","Urban","Data tabulated by year of registration","Final figure, complete","2007","31360","1"
"Egypt","2004","Rural","Data tabulated by year of registration","Final figure, complete","2007","33136","1"
"Egypt","2003","Total","Data tabulated by year of registration","Final figure, complete","2007","69867","1"
"Egypt","2003","Urban","Data tabulated by year of registration","Final figure, complete","2007","35442","1"
"Egypt","2003","Rural","Data tabulated by year of registration","Final figure, complete","2007","34425","1"
"Egypt","2002","Total","Data tabulated by year of registration","Final figure, complete","2007","70069","1"
"Egypt","2002","Urban","Data tabulated by year of registration","Final figure, complete","2007","36098","1"
"Egypt","2002","Rural","Data tabulated by year of registration","Final figure, complete","2007","33971","1"
"Egypt","2001","Total","Data tabulated by year of registration","Final figure, complete","2007","70279","1"
"Egypt","2001","Urban","Data tabulated by year of registration","Final figure, complete","2007","35087","1"
"Egypt","2001","Rural","Data tabulated by year of registration","Final figure, complete","2007","35192","1"
"Egypt","2000","Total","Data tabulated by year of registration","Final figure, complete","2007","68991","1"
"Egypt","2000","Urban","Data tabulated by year of registration","Final figure, complete","2007","36686","1"
"Egypt","2000","Rural","Data tabulated by year of registration","Final figure, complete","2007","32305","1"
"Egypt","1999","Total","Data tabulated by year of registration","Final figure, complete","2007","73414","1"
"Egypt","1999","Urban","Data tabulated by year of registration","Final figure, complete","2007","39829","1"
"Egypt","1999","Rural","Data tabulated by year of registration","Final figure, complete","2007","33585","1"
"Egypt","1998","Total","Data tabulated by year of registration","Final figure, complete","2007","71792","1"
"Egypt","1998","Urban","Data tabulated by year of registration","Final figure, complete","2007","38872","1"
"Egypt","1998","Rural","Data tabulated by year of registration","Final figure, complete","2007","32920","1"
"Egypt","1997","Total","Data tabulated by year of registration","Final figure, complete","2007","70899","1"
"Egypt","1997","Urban","Data tabulated by year of registration","Final figure, complete","2007","40078","1"
"Egypt","1997","Rural","Data tabulated by year of registration","Final figure, complete","2007","30821","1"
"Egypt","1996","Total","Data tabulated by year of registration","Final figure, complete","2007","69219",""
"Egypt","1996","Urban","Data tabulated by year of registration","Final figure, complete","2007","38722",""
"Egypt","1996","Rural","Data tabulated by year of registration","Final figure, complete","2007","30497",""
"Egypt","1995","Total","Data tabulated by year of registration","Final figure, complete","1998","67653","1"
"Egypt","1995","Urban","Data tabulated by year of registration","Final figure, complete","1998","38156","1"
"Egypt","1995","Rural","Data tabulated by year of registration","Final figure, complete","1998","29497","1"
"Egypt","1994","Total","Data tabulated by year of registration","Final figure, complete","1998","67028","1"
"Egypt","1994","Urban","Data tabulated by year of registration","Final figure, complete","1998","36971","1"
"Egypt","1994","Rural","Data tabulated by year of registration","Final figure, complete","1998","30057","1"
"Egypt","1993","Total","Data tabulated by year of registration","Final figure, complete","1998","65166","1"
"Egypt","1993","Urban","Data tabulated by year of registration","Final figure, complete","1998","35486","1"
"Egypt","1993","Rural","Data tabulated by year of registration","Final figure, complete","1998","29680","1"
"Egypt","1992","Total","Data tabulated by year of registration","Final figure, complete","1998","61689","1"
"Egypt","1992","Urban","Data tabulated by year of registration","Final figure, complete","1996","33893","1"
"Egypt","1992","Rural","Data tabulated by year of registration","Final figure, complete","1996","27796","1"
"Egypt","1991","Total","Data tabulated by year of registration","Final figure, complete","1996","64165","1"
"Egypt","1991","Urban","Data tabulated by year of registration","Final figure, complete","1996","37049","1"
"Egypt","1991","Rural","Data tabulated by year of registration","Final figure, complete","1996","27116","1"
"Egypt","1990","Total","Data tabulated by year of registration","Final figure, complete","1995","67195","1"
"Egypt","1990","Urban","Data tabulated by year of registration","Final figure, complete","1995","38212","1"
"Egypt","1990","Rural","Data tabulated by year of registration","Final figure, complete","1995","28983","1"
"Egypt","1989","Total","Data tabulated by year of registration","Final figure, complete","1994","64766",""
"Egypt","1989","Urban","Data tabulated by year of registration","Final figure, complete","1994","34229",""
"Egypt","1989","Rural","Data tabulated by year of registration","Final figure, complete","1994","30537",""
"Egypt","1987","Total","Data tabulated by year of registration","Final figure, complete","1992","69494",""
"Egypt","1986","Total","Data tabulated by year of registration","Final figure, complete","1991","68735",""
"Egypt","1986","Urban","Data tabulated by year of registration","Final figure, complete","1991","37021",""
"Egypt","1986","Rural","Data tabulated by year of registration","Final figure, complete","1991","31714",""
"Egypt","1985","Total","Data tabulated by year of registration","Final figure, complete","1991","72563",""
