"Country or Area","Year","Area","Age of husband","Age of wife","Source Year","Value","Value Footnotes"
"Egypt","2022","Total","Total","Total","2024","258757","1"
"Egypt","2022","Total","Total","18 - 19","2024","8911","1"
"Egypt","2022","Total","Total","20 - 24","2024","40042","1"
"Egypt","2022","Total","Total","25 - 29","2024","44784","1"
"Egypt","2022","Total","Total","30 - 34","2024","43397","1"
"Egypt","2022","Total","Total","35 - 39","2024","42487","1"
"Egypt","2022","Total","Total","40 - 44","2024","32364","1"
"Egypt","2022","Total","Total","45 - 49","2024","21531","1"
"Egypt","2022","Total","Total","50 - 54","2024","12402","1"
"Egypt","2022","Total","Total","55 - 59","2024","7065","1"
"Egypt","2022","Total","Total","60 - 64","2024","3896","1"
"Egypt","2022","Total","Total","65 - 69","2024","1286","1"
"Egypt","2022","Total","Total","70 - 74","2024","379","1"
"Egypt","2022","Total","Total","75 +","2024","213","1"
"Egypt","2022","Total","18 - 19","Total","2024","269","1"
"Egypt","2022","Total","18 - 19","18 - 19","2024","141","1"
"Egypt","2022","Total","18 - 19","20 - 24","2024","108","1"
"Egypt","2022","Total","18 - 19","25 - 29","2024","11","1"
"Egypt","2022","Total","18 - 19","30 - 34","2024","4","1"
"Egypt","2022","Total","18 - 19","35 - 39","2024","2","1"
"Egypt","2022","Total","18 - 19","40 - 44","2024","2","1"
"Egypt","2022","Total","18 - 19","45 - 49","2024","0","1"
"Egypt","2022","Total","18 - 19","50 - 54","2024","0","1"
"Egypt","2022","Total","18 - 19","55 - 59","2024","0","1"
"Egypt","2022","Total","18 - 19","60 - 64","2024","0","1"
"Egypt","2022","Total","18 - 19","65 - 69","2024","1","1"
"Egypt","2022","Total","18 - 19","70 - 74","2024","0","1"
"Egypt","2022","Total","18 - 19","75 +","2024","0","1"
"Egypt","2022","Total","20 - 24","Total","2024","8764","1"
"Egypt","2022","Total","20 - 24","18 - 19","2024","1984","1"
"Egypt","2022","Total","20 - 24","20 - 24","2024","5465","1"
"Egypt","2022","Total","20 - 24","25 - 29","2024","829","1"
"Egypt","2022","Total","20 - 24","30 - 34","2024","280","1"
"Egypt","2022","Total","20 - 24","35 - 39","2024","123","1"
"Egypt","2022","Total","20 - 24","40 - 44","2024","53","1"
"Egypt","2022","Total","20 - 24","45 - 49","2024","12","1"
"Egypt","2022","Total","20 - 24","50 - 54","2024","12","1"
"Egypt","2022","Total","20 - 24","55 - 59","2024","0","1"
"Egypt","2022","Total","20 - 24","60 - 64","2024","2","1"
"Egypt","2022","Total","20 - 24","65 - 69","2024","2","1"
"Egypt","2022","Total","20 - 24","70 - 74","2024","0","1"
"Egypt","2022","Total","20 - 24","75 +","2024","2","1"
"Egypt","2022","Total","25 - 29","Total","2024","32585","1"
"Egypt","2022","Total","25 - 29","18 - 19","2024","3632","1"
