"Country or Area","Year","Area","Sex","Age","Source Year","Value","Value Footnotes"
"Egypt","2022","Total","Male","Total","2024","929428",""
"Egypt","2022","Total","Male","18 - 19","2024","7756",""
"Egypt","2022","Total","Male","20 - 24","2024","167116",""
"Egypt","2022","Total","Male","25 - 29","2024","374631",""
"Egypt","2022","Total","Male","30 - 34","2024","199144",""
"Egypt","2022","Total","Male","35 - 39","2024","78258",""
"Egypt","2022","Total","Male","40 - 44","2024","38306",""
"Egypt","2022","Total","Male","45 - 49","2024","20829",""
"Egypt","2022","Total","Male","50 - 54","2024","14628",""
"Egypt","2022","Total","Male","55 - 59","2024","11317",""
"Egypt","2022","Total","Male","60 - 64","2024","7644",""
"Egypt","2022","Total","Male","65 - 69","2024","4872",""
"Egypt","2022","Total","Male","70 - 74","2024","2933",""
"Egypt","2022","Total","Male","75 +","2024","1994",""
"Egypt","2022","Total","Female","Total","2024","929428",""
"Egypt","2022","Total","Female","18 - 19","2024","236195",""
"Egypt","2022","Total","Female","20 - 24","2024","349276",""
"Egypt","2022","Total","Female","25 - 29","2024","180126",""
"Egypt","2022","Total","Female","30 - 34","2024","67056",""
"Egypt","2022","Total","Female","35 - 39","2024","43045",""
"Egypt","2022","Total","Female","40 - 44","2024","25265",""
"Egypt","2022","Total","Female","45 - 49","2024","14288",""
"Egypt","2022","Total","Female","50 - 54","2024","7534",""
"Egypt","2022","Total","Female","55 - 59","2024","3901",""
"Egypt","2022","Total","Female","60 - 64","2024","1651",""
"Egypt","2022","Total","Female","65 - 69","2024","647",""
"Egypt","2022","Total","Female","70 - 74","2024","243",""
"Egypt","2022","Total","Female","75 +","2024","201",""
"Egypt","2021","Total","Male","Total","2023","880041",""
"Egypt","2021","Total","Male","18 - 19","2023","7436",""
"Egypt","2021","Total","Male","20 - 24","2023","159508",""
"Egypt","2021","Total","Male","25 - 29","2023","352259",""
"Egypt","2021","Total","Male","30 - 34","2023","192569",""
"Egypt","2021","Total","Male","35 - 39","2023","72124",""
"Egypt","2021","Total","Male","40 - 44","2023","35099",""
"Egypt","2021","Total","Male","45 - 49","2023","20061",""
"Egypt","2021","Total","Male","50 - 54","2023","13781",""
"Egypt","2021","Total","Male","55 - 59","2023","10549",""
"Egypt","2021","Total","Male","60 - 64","2023","7021",""
"Egypt","2021","Total","Male","65 - 69","2023","4972",""
"Egypt","2021","Total","Male","70 - 74","2023","2777",""
"Egypt","2021","Total","Male","75 +","2023","1885",""
"Egypt","2021","Total","Female","Total","2023","880041",""
"Egypt","2021","Total","Female","18 - 19","2023","232782",""
"Egypt","2021","Total","Female","20 - 24","2023","333679",""
"Egypt","2021","Total","Female","25 - 29","2023","159053",""
"Egypt","2021","Total","Female","30 - 34","2023","64566",""
"Egypt","2021","Total","Female","35 - 39","2023","40771",""
"Egypt","2021","Total","Female","40 - 44","2023","23499",""
"Egypt","2021","Total","Female","45 - 49","2023","13028",""
"Egypt","2021","Total","Female","50 - 54","2023","6697",""
"Egypt","2021","Total","Female","55 - 59","2023","3458",""
"Egypt","2021","Total","Female","60 - 64","2023","1509",""
"Egypt","2021","Total","Female","65 - 69","2023","550",""
"Egypt","2021","Total","Female","70 - 74","2023","254",""
"Egypt","2021","Total","Female","75 +","2023","195",""
"Egypt","2020","Total","Male","Total","2022","759892",""
"Egypt","2020","Total","Male","18 - 19","2022","8331",""
"Egypt","2020","Total","Male","20 - 24","2022","160069",""
"Egypt","2020","Total","Male","25 - 29","2022","332728",""
"Egypt","2020","Total","Male","30 - 34","2022","166538",""
"Egypt","2020","Total","Male","35 - 39","2022","48454",""
"Egypt","2020","Total","Male","40 - 44","2022","19079",""
"Egypt","2020","Total","Male","45 - 49","2022","9260",""
"Egypt","2020","Total","Male","50 - 54","2022","5886",""
"Egypt","2020","Total","Male","55 - 59","2022","3935",""
"Egypt","2020","Total","Male","60 - 64","2022","2471",""
"Egypt","2020","Total","Male","65 - 69","2022","1616",""
"Egypt","2020","Total","Male","70 - 74","2022","794",""
"Egypt","2020","Total","Male","75 +","2022","726",""
"Egypt","2020","Total","Male","Unknown","2022","5",""
"Egypt","2020","Total","Female","Total","2022","745678",""
"Egypt","2020","Total","Female","18 - 19","2022","229623",""
"Egypt","2020","Total","Female","20 - 24","2022","305273",""
"Egypt","2020","Total","Female","25 - 29","2022","129386",""
"Egypt","2020","Total","Female","30 - 34","2022","41044",""
"Egypt","2020","Total","Female","35 - 39","2022","20560",""
"Egypt","2020","Total","Female","40 - 44","2022","10479",""
"Egypt","2020","Total","Female","45 - 49","2022","5038",""
"Egypt","2020","Total","Female","50 - 54","2022","2228",""
"Egypt","2020","Total","Female","55 - 59","2022","1015",""
"Egypt","2020","Total","Female","60 - 64","2022","523",""
"Egypt","2020","Total","Female","65 - 69","2022","198",""
"Egypt","2020","Total","Female","70 - 74","2022","82",""
"Egypt","2020","Total","Female","75 +","2022","227",""
"Egypt","2020","Total","Female","Unknown","2022","2",""
"Egypt","2019","Total","Male","Total","2021","799051",""
"Egypt","2019","Total","Male","18 - 19","2021","8987",""
"Egypt","2019","Total","Male","20 - 24","2021","162734",""
"Egypt","2019","Total","Male","25 - 29","2021","351503",""
"Egypt","2019","Total","Male","30 - 34","2021","177596",""
"Egypt","2019","Total","Male","35 - 39","2021","51351",""
"Egypt","2019","Total","Male","40 - 44","2021","18572",""
"Egypt","2019","Total","Male","45 - 49","2021","10445",""
"Egypt","2019","Total","Male","50 - 54","2021","6688",""
"Egypt","2019","Total","Male","55 - 59","2021","4805",""
"Egypt","2019","Total","Male","60 - 64","2021","2792",""
"Egypt","2019","Total","Male","65 - 69","2021","1845",""
"Egypt","2019","Total","Male","70 - 74","2021","863",""
"Egypt","2019","Total","Male","75 +","2021","870",""
"Egypt","2019","Total","Female","Total","2021","786240",""
"Egypt","2019","Total","Female","18 - 19","2021","246966",""
"Egypt","2019","Total","Female","20 - 24","2021","312555",""
"Egypt","2019","Total","Female","25 - 29","2021","136117",""
"Egypt","2019","Total","Female","30 - 34","2021","45976",""
"Egypt","2019","Total","Female","35 - 39","2021","22123",""
"Egypt","2019","Total","Female","40 - 44","2021","11127",""
"Egypt","2019","Total","Female","45 - 49","2021","5679",""
"Egypt","2019","Total","Female","50 - 54","2021","3020",""
